,0
0,0.7072636
1,0.6843835
2,0.5933653
3,0.50933313
4,0.44887522
5,0.39139146
6,0.333695
7,0.28060228
8,0.23264307
9,0.1913297
10,0.15656756
11,0.12897238
12,0.105825536
13,0.08955942
14,0.07338482
15,0.06328843
16,0.053576823
17,0.04627724
18,0.040488526
19,0.03519709
20,0.033408772
21,0.02870651
22,0.026898567
23,0.024882574
24,0.02293457
25,0.021690732
26,0.019962627
27,0.01894239
28,0.01884422
29,0.018138986
30,0.01858367
31,0.017476063
32,0.014652298
33,0.015377949
34,0.016475195
35,0.015095865
36,0.015699502
37,0.013243077
38,0.016573053
39,0.013461233
40,0.013770663
41,0.011346572
42,0.013026559
43,0.014933745
44,0.011937553
45,0.014253748
46,0.01289403
47,0.012358487
48,0.013248286
49,0.0133984
