,0
0,0.6932777
1,0.6925114
2,0.68698883
3,0.62518716
4,0.45198095
5,0.32623827
6,0.24457738
7,0.17311075
8,0.105883695
9,0.06088939
10,0.05364975
11,0.036103353
12,0.020345725
13,0.014243071
14,0.017000265
15,0.014799481
16,0.0144005725
17,0.013306563
18,0.014346534
19,0.015536273
20,0.01628785
21,0.01501884
22,0.013017189
23,0.014599679
24,0.015007025
25,0.014168979
26,0.01451897
27,0.014218938
28,0.013291103
29,0.011080131
30,0.014284413
31,0.0126602575
32,0.013751773
33,0.010756146
34,0.011282406
35,0.010961838
36,0.013455942
37,0.013932632
38,0.012205474
39,0.00977695
40,0.01129873
41,0.009488927
42,0.010726669
43,0.0087201595
44,0.008682291
45,0.011643813
46,0.007008775
47,0.009856579
48,0.01263893
49,0.011010422
